Fecha,CCAA,Consumo_Tm,Target,IPI_original,IPI_ajustado,IPC_var_anual,Tasa_paro,CNMC_Biodiesel_Tm,GasoleoA_Tm,DieselPool_Tm,Biodiesel_GasoleoA_Ratio,Biodiesel_DieselPool_Share,Mes,Trimestre,Año,Tendencia,sin_mes,cos_mes,Lag_1,Lag_2,Lag_3,Lag_12,Roll_mean_3,Roll_mean_6,Roll_std_3,IPI_original_lag1,IPI_ajustado_lag1,IPC_var_anual_lag1,Tasa_paro_lag1,GasoleoA_Tm_lag1,GasoleoA_Tm_roll3_lag1,Biodiesel_GasoleoA_Ratio_lag1,Biodiesel_GasoleoA_Ratio_roll3_lag1
2023-01,Andalucía,0,Andalucía,97.874,101.664,5.9,13.38,0.0,246092.0,374908.0,0.0,0.0,1,1,2023,1,0.49999999999999994,0.8660254037844387,,,,,,,,,,,,,,,
2023-02,Andalucía,0,Andalucía,99.947,100.678,6.0,13.38,0.0,261675.0,371574.0,0.0,0.0,2,1,2023,2,0.8660254037844386,0.5000000000000001,0.0,,,,,,,97.874,101.664,5.9,13.38,246092.0,,0.0,
2023-03,Andalucía,0,Andalucía,113.733,102.479,3.3,13.38,0.0,302382.0,437949.0,0.0,0.0,3,1,2023,3,1.0,6.123233995736766e-17,0.0,0.0,,,0.0,,0.0,99.947,100.678,6.0,13.38,261675.0,253883.5,0.0,0.0
2023-04,Andalucía,46,Andalucía,93.271,101.097,4.1,11.67,46.0,281273.0,403606.0,0.0001635421814393,0.0001139725375737,4,2,2023,4,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,,0.0,0.0,0.0,113.733,102.479,3.3,13.38,302382.0,270049.6666666667,0.0,0.0
2023-05,Andalucía,0,Andalucía,108.291,100.41,3.2,11.67,0.0,303914.0,460176.0,0.0,0.0,5,2,2023,5,0.49999999999999994,-0.8660254037844387,46.0,0.0,0.0,,15.333333333333334,11.5,26.558112382722783,93.271,101.097,4.1,11.67,281273.0,281776.6666666667,0.0001635421814393,5.451406047976667e-05
2023-06,Andalucía,0,Andalucía,106.84,100.78,1.9,11.67,0.0,302841.0,430416.0,0.0,0.0,6,2,2023,6,1.2246467991473532e-16,-1.0,0.0,46.0,0.0,,15.333333333333334,9.2,26.558112382722783,108.291,100.41,3.2,11.67,303914.0,295856.3333333333,0.0,5.451406047976667e-05
2023-07,Andalucía,0,Andalucía,103.068,100.586,2.3,11.89,0.0,307739.0,452484.0,0.0,0.0,7,3,2023,7,-0.4999999999999997,-0.8660254037844388,0.0,0.0,46.0,,15.333333333333334,7.666666666666667,26.558112382722783,106.84,100.78,1.9,11.67,302841.0,296009.3333333333,0.0,5.451406047976667e-05
2023-08,Andalucía,0,Andalucía,81.579,99.789,2.6,11.89,0.0,301542.0,400773.0,0.0,0.0,8,3,2023,8,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,,0.0,7.666666666666667,0.0,103.068,100.586,2.3,11.89,307739.0,304831.3333333333,0.0,0.0
2023-09,Andalucía,19,Andalucía,102.763,100.515,3.5,11.89,19.0,284714.0,391554.0,6.673363445422424e-05,4.852459686275712e-05,9,3,2023,9,-1.0,-1.8369701987210297e-16,0.0,0.0,0.0,,0.0,7.666666666666667,0.0,81.579,99.789,2.6,11.89,301542.0,304040.6666666667,0.0,0.0
2023-10,Andalucía,43,Andalucía,103.78,99.789,3.5,11.8,43.0,288953.0,438285.0,0.0001488131287787,9.81096774929555e-05,10,4,2023,10,-0.8660254037844386,0.5000000000000001,19.0,0.0,0.0,,6.333333333333333,10.833333333333334,10.969655114602885,102.763,100.515,3.5,11.89,284714.0,297998.3333333333,6.673363445422424e-05,2.2244544818074745e-05
2023-11,Andalucía,159,Andalucía,107.632,101.024,3.2,11.8,159.0,284276.0,430273.0,0.0005593155947037,0.0003695328314814,11,4,2023,11,-0.5000000000000004,0.8660254037844384,43.0,19.0,0.0,,20.666666666666668,10.333333333333334,21.54839514519198,103.78,99.789,3.5,11.8,288953.0,291736.3333333333,0.0001488131287787,7.184892107764141e-05
2023-12,Andalucía,85,Andalucía,89.019,99.95,3.1,11.8,85.0,282854.0,427250.0,0.0003005083894871,0.0001989467524868,12,4,2023,12,-2.4492935982947064e-16,1.0,159.0,43.0,19.0,,73.66666666666667,36.833333333333336,74.86877408728778,107.632,101.024,3.2,11.8,284276.0,285981.0,0.0005593155947037,0.0002582874526455414
2024-01,Andalucía,92,Andalucía,101.649,102.249,3.4,12.29,92.0,275829.0,434227.0,0.0003335399831054,0.0002118707496309,1,1,2024,13,0.49999999999999994,0.8660254037844387,85.0,159.0,43.0,0.0,95.66666666666667,51.0,58.731025304632084,89.019,99.95,3.1,11.8,282854.0,285361.0,0.0003005083894871,0.0003362123709898333
2024-02,Andalucía,80,Andalucía,104.175,103.69,2.8,12.29,80.0,267574.0,404177.0,0.0002989827113247,0.0001979330837727,2,1,2024,14,0.8660254037844386,0.5000000000000001,92.0,85.0,159.0,0.0,112.0,66.33333333333333,40.85339643163101,101.649,102.249,3.4,12.29,275829.0,280986.3333333333,0.0003335399831054,0.00039778798909873334
2024-03,Andalucía,104,Andalucía,99.972,101.232,3.2,12.29,104.0,287400.0,422440.0,0.0003618649965205,0.000246188807878,3,1,2024,15,1.0,6.123233995736766e-17,80.0,92.0,85.0,0.0,85.66666666666667,79.66666666666667,6.027713773341712,104.175,103.69,2.8,12.29,267574.0,275419.0,0.0002989827113247,0.00031101036130573334
2024-04,Andalucía,154,Andalucía,104.405,100.811,3.3,11.27,154.0,300835.0,406293.0,0.0005119085212824,0.0003790368034891,4,2,2024,16,0.8660254037844387,-0.4999999999999998,104.0,80.0,92.0,46.0,92.0,93.83333333333333,12.000000000000016,99.972,101.232,3.2,12.29,287400.0,276934.3333333333,0.0003618649965205,0.00033146256365019995
2024-05,Andalucía,355,Andalucía,108.032,100.353,3.6,11.27,355.0,311942.0,409757.0,0.0011380320700643,0.0008663671395485,5,2,2024,17,0.49999999999999994,-0.8660254037844387,154.0,104.0,80.0,0.0,112.66666666666667,112.33333333333333,37.753587026047406,104.405,100.811,3.3,11.27,300835.0,285269.6666666667,0.0005119085212824,0.00039091874304253335
