Fecha,PAI_gasoleo_a_nac,PAI_gasoleo_prem_nac,PAI_gasolina95_nac,PAI_gasolina98_nac,PVP_gasoleo_a_nac,PVP_gasoleo_prem_nac,PVP_gasolina95_nac,PVP_gasolina98_nac,PAI_gasoleo_a_madrid,PAI_gasoleo_prem_madrid,PAI_gasolina95_madrid,PAI_gasolina98_madrid,PVP_gasoleo_a_madrid,PVP_gasoleo_prem_madrid,PVP_gasolina95_madrid,PVP_gasolina98_madrid,PAI_gasoleo_a_cataluna,PAI_gasoleo_prem_cataluna,PAI_gasolina95_cataluna,PAI_gasolina98_cataluna,PVP_gasoleo_a_cataluna,PVP_gasoleo_prem_cataluna,PVP_gasolina95_cataluna,PVP_gasolina98_cataluna,PAI_gasoleo_a_andalucía,PAI_gasoleo_prem_andalucía,PAI_gasolina95_andalucía,PAI_gasolina98_andalucía,PVP_gasoleo_a_andalucía,PVP_gasoleo_prem_andalucía,PVP_gasolina95_andalucía,PVP_gasolina98_andalucía,PAI_gasoleo_a_valencia,PAI_gasoleo_prem_valencia,PAI_gasolina95_valencia,PAI_gasolina98_valencia,PVP_gasoleo_a_valencia,PVP_gasoleo_prem_valencia,PVP_gasolina95_valencia,PVP_gasolina98_valencia,PAI_gasoleo_a_nac_lag1,PAI_gasoleo_prem_nac_lag1,PAI_gasolina95_nac_lag1,PAI_gasolina98_nac_lag1,PVP_gasoleo_a_nac_lag1,PVP_gasoleo_prem_nac_lag1,PVP_gasolina95_nac_lag1,PVP_gasolina98_nac_lag1,PAI_gasoleo_a_madrid_lag1,PAI_gasoleo_prem_madrid_lag1,PAI_gasolina95_madrid_lag1,PAI_gasolina98_madrid_lag1,PVP_gasoleo_a_madrid_lag1,PVP_gasoleo_prem_madrid_lag1,PVP_gasolina95_madrid_lag1,PVP_gasolina98_madrid_lag1,PAI_gasoleo_a_cataluna_lag1,PAI_gasoleo_prem_cataluna_lag1,PAI_gasolina95_cataluna_lag1,PAI_gasolina98_cataluna_lag1,PVP_gasoleo_a_cataluna_lag1,PVP_gasoleo_prem_cataluna_lag1,PVP_gasolina95_cataluna_lag1,PVP_gasolina98_cataluna_lag1,PAI_gasoleo_a_andalucía_lag1,PAI_gasoleo_prem_andalucía_lag1,PAI_gasolina95_andalucía_lag1,PAI_gasolina98_andalucía_lag1,PVP_gasoleo_a_andalucía_lag1,PVP_gasoleo_prem_andalucía_lag1,PVP_gasolina95_andalucía_lag1,PVP_gasolina98_andalucía_lag1,PAI_gasoleo_a_valencia_lag1,PAI_gasoleo_prem_valencia_lag1,PAI_gasolina95_valencia_lag1,PAI_gasolina98_valencia_lag1,PVP_gasoleo_a_valencia_lag1,PVP_gasoleo_prem_valencia_lag1,PVP_gasolina95_valencia_lag1,PVP_gasolina98_valencia_lag1
2023-01,1.0371544665012407,1.1142115384615383,0.8996023573200993,1.0015559772296014,1.6742468982630272,1.7661327543424317,1.618153846153846,1.7873510436432638,1.0389032258064514,1.117483870967742,0.888483870967742,0.9989032258064516,1.7156129032258063,1.8106129032258065,1.6471290322580645,1.8183225806451613,1.0014274193548387,1.0814919354838708,0.8617983870967741,0.9770483870967742,1.6704274193548387,1.7671451612903226,1.6146693548387097,1.7919516129032258,1.021959677419355,1.1,0.8770120967741936,0.9833951612903226,1.6952056451612902,1.7894959677419355,1.633125,1.7996330645161291,1.0154516129032258,1.1028817204301076,0.8795268817204301,0.9945591397849463,1.6873655913978496,1.793,1.6361505376344088,1.8131290322580647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02,0.9835824175824176,1.0601881868131868,0.9035837912087912,1.0036330532212885,1.6098681318681318,1.7013207417582419,1.6228468406593406,1.7898487394957983,0.9850714285714286,1.0624642857142856,0.8981071428571429,1.0066071428571428,1.6505357142857144,1.7440714285714287,1.6585357142857142,1.8277142857142858,0.9433392857142857,1.0238035714285714,0.8715714285714286,0.9858214285714285,1.6000357142857144,1.6973660714285714,1.6265714285714286,1.802642857142857,0.9719151785714286,1.0488660714285714,0.8779642857142856,0.9846473214285715,1.6345714285714286,1.72771875,1.6342410714285713,1.8011919642857142,0.96125,1.0483095238095237,0.8846904761904762,0.9999404761904762,1.6217142857142857,1.7270357142857142,1.6425,1.8197380952380953,1.0371544665012407,1.1142115384615383,0.8996023573200993,1.0015559772296014,1.6742468982630272,1.7661327543424317,1.618153846153846,1.7873510436432638,1.0389032258064514,1.117483870967742,0.888483870967742,0.9989032258064516,1.7156129032258063,1.8106129032258065,1.6471290322580645,1.8183225806451613,1.0014274193548387,1.0814919354838708,0.8617983870967741,0.9770483870967742,1.6704274193548387,1.7671451612903226,1.6146693548387097,1.7919516129032258,1.021959677419355,1.1,0.8770120967741936,0.9833951612903226,1.6952056451612902,1.7894959677419355,1.633125,1.7996330645161291,1.0154516129032258,1.1028817204301076,0.8795268817204301,0.9945591397849463,1.6873655913978496,1.793,1.6361505376344088,1.8131290322580647
2023-03,0.9409032258064517,1.0197630272952853,0.8997313895781638,1.0002662871600254,1.5587183622828784,1.6528833746898262,1.6182537220843674,1.7859247311827957,0.9424193548387096,1.022516129032258,0.8998387096774193,1.011548387096774,1.5989354838709677,1.696,1.6608709677419355,1.8336774193548389,0.89975,0.9826370967741935,0.8764274193548388,0.9919516129032258,1.5472983870967743,1.647540322580645,1.6324354838709678,1.8099516129032258,0.929366935483871,1.0084314516129032,0.8738024193548387,0.9815403225806452,1.5831129032258064,1.6788427419354839,1.62925,1.797391129032258,0.9249032258064517,1.0169354838709679,0.8889892473118279,1.0085913978494623,1.5777419354838709,1.6891612903225808,1.6476021505376344,1.8300645161290323,0.9835824175824176,1.0601881868131868,0.9035837912087912,1.0036330532212885,1.6098681318681318,1.7013207417582419,1.6228468406593406,1.7898487394957983,0.9850714285714286,1.0624642857142856,0.8981071428571429,1.0066071428571428,1.6505357142857144,1.7440714285714287,1.6585357142857142,1.8277142857142858,0.9433392857142857,1.0238035714285714,0.8715714285714286,0.9858214285714285,1.6000357142857144,1.6973660714285714,1.6265714285714286,1.802642857142857,0.9719151785714286,1.0488660714285714,0.8779642857142856,0.9846473214285715,1.6345714285714286,1.72771875,1.6342410714285713,1.8011919642857142,0.96125,1.0483095238095237,0.8846904761904762,0.9999404761904762,1.6217142857142857,1.7270357142857142,1.6425,1.8197380952380953
2023-04,0.8884980769230769,0.9671480769230769,0.9025467948717948,1.0018281045751634,1.495926282051282,1.5897987179487179,1.6216557692307692,1.7878281045751634,0.8857333333333333,0.9650666666666666,0.8972333333333334,1.0069000000000001,1.5304333333333333,1.6263333333333334,1.6576333333333333,1.8281,0.8475083333333333,0.928225,0.882475,0.9984749999999999,1.4840833333333334,1.5817333333333332,1.63975,1.8179166666666666,0.8786666666666666,0.9579208333333333,0.8765125,0.9835999999999999,1.5218208333333334,1.6177208333333333,1.6325125,1.7999291666666666,0.8723888888888889,0.9623555555555555,0.897611111111111,1.015677777777778,1.5142666666666666,1.6229777777777779,1.6580222222222223,1.8386555555555557,0.9409032258064517,1.0197630272952853,0.8997313895781638,1.0002662871600254,1.5587183622828784,1.6528833746898262,1.6182537220843674,1.7859247311827957,0.9424193548387096,1.022516129032258,0.8998387096774193,1.011548387096774,1.5989354838709677,1.696,1.6608709677419355,1.8336774193548389,0.89975,0.9826370967741935,0.8764274193548388,0.9919516129032258,1.5472983870967743,1.647540322580645,1.6324354838709678,1.8099516129032258,0.929366935483871,1.0084314516129032,0.8738024193548387,0.9815403225806452,1.5831129032258064,1.6788427419354839,1.62925,1.797391129032258,0.9249032258064517,1.0169354838709679,0.8889892473118279,1.0085913978494623,1.5777419354838709,1.6891612903225808,1.6476021505376344,1.8300645161290323
2023-05,0.8202227047146402,0.9007282878411911,0.8588970223325062,0.9589677419354838,1.413918734491315,1.5101532258064518,1.5693629032258065,1.7363643263757116,0.8145483870967742,0.8949354838709678,0.8477419354838709,0.9572580645161289,1.4441612903225807,1.541483870967742,1.5977096774193549,1.768,0.7776451612903226,0.8618064516129033,0.8369677419354838,0.957266129032258,1.399483870967742,1.5013870967741936,1.5846370967741936,1.768024193548387,0.8060241935483872,0.8882903225806451,0.8341895161290322,0.9407096774193549,1.4338306451612903,1.5334556451612902,1.5813266129032257,1.747939516129032,0.7940322580645162,0.8847741935483872,0.8551397849462364,0.9679139784946236,1.4193440860215054,1.5291720430107527,1.6066666666666665,1.7808709677419357,0.8884980769230769,0.9671480769230769,0.9025467948717948,1.0018281045751634,1.495926282051282,1.5897987179487179,1.6216557692307692,1.7878281045751634,0.8857333333333333,0.9650666666666666,0.8972333333333334,1.0069000000000001,1.5304333333333333,1.6263333333333334,1.6576333333333333,1.8281,0.8475083333333333,0.928225,0.882475,0.9984749999999999,1.4840833333333334,1.5817333333333332,1.63975,1.8179166666666666,0.8786666666666666,0.9579208333333333,0.8765125,0.9835999999999999,1.5218208333333334,1.6177208333333333,1.6325125,1.7999291666666666,0.8723888888888889,0.9623555555555555,0.897611111111111,1.015677777777778,1.5142666666666666,1.6229777777777779,1.6580222222222223,1.8386555555555557
2023-06,0.8276929487179487,0.9100358974358974,0.8649474358974358,0.9659156862745097,1.4231339743589744,1.521596153846154,1.576744871794872,1.744902614379085,0.8229666666666666,0.9071333333333335,0.8563333333333333,0.9666999999999999,1.4544333333333335,1.5563666666666667,1.6080333333333334,1.7794666666666668,0.7874333333333333,0.8765916666666667,0.8459583333333334,0.9686416666666666,1.4113083333333334,1.5192833333333333,1.595516666666667,1.7817333333333332,0.8120791666666667,0.897425,0.8409333333333333,0.9487,1.4411666666666667,1.5445166666666665,1.5894416666666666,1.7576666666666665,0.8095444444444444,0.9065555555555556,0.8609666666666667,0.9784333333333333,1.4380888888888888,1.5555333333333332,1.6136222222222223,1.793622222222222,0.8202227047146402,0.9007282878411911,0.8588970223325062,0.9589677419354838,1.413918734491315,1.5101532258064518,1.5693629032258065,1.7363643263757116,0.8145483870967742,0.8949354838709678,0.8477419354838709,0.9572580645161289,1.4441612903225807,1.541483870967742,1.5977096774193549,1.768,0.7776451612903226,0.8618064516129033,0.8369677419354838,0.957266129032258,1.399483870967742,1.5013870967741936,1.5846370967741936,1.768024193548387,0.8060241935483872,0.8882903225806451,0.8341895161290322,0.9407096774193549,1.4338306451612903,1.5334556451612902,1.5813266129032257,1.747939516129032,0.7940322580645162,0.8847741935483872,0.8551397849462364,0.9679139784946236,1.4193440860215054,1.5291720430107527,1.6066666666666665,1.7808709677419357
2023-07,0.8534280397022331,0.9368945409429281,0.8797859801488833,0.9811752055660975,1.4541836228287843,1.5539832506203475,1.5946699751861044,1.763362428842505,0.8482258064516128,0.9334838709677419,0.8723870967741936,0.9843225806451613,1.4848387096774194,1.5881935483870968,1.627483870967742,1.8006774193548387,0.8149112903225807,0.9047258064516129,0.8656048387096774,0.9868467741935484,1.4445806451612901,1.5533467741935485,1.6194032258064517,1.803790322580645,0.8380846774193549,0.9249233870967742,0.8573870967741936,0.9662056451612904,1.4726411290322583,1.5778185483870968,1.6093669354838709,1.7788145161290323,0.8373978494623656,0.9376989247311829,0.876752688172043,0.9958172043010753,1.4718602150537636,1.5931935483870967,1.632741935483871,1.8146236559139783,0.8276929487179487,0.9100358974358974,0.8649474358974358,0.9659156862745097,1.4231339743589744,1.521596153846154,1.576744871794872,1.744902614379085,0.8229666666666666,0.9071333333333335,0.8563333333333333,0.9666999999999999,1.4544333333333335,1.5563666666666667,1.6080333333333334,1.7794666666666668,0.7874333333333333,0.8765916666666667,0.8459583333333334,0.9686416666666666,1.4113083333333334,1.5192833333333333,1.595516666666667,1.7817333333333332,0.8120791666666667,0.897425,0.8409333333333333,0.9487,1.4411666666666667,1.5445166666666665,1.5894416666666666,1.7576666666666665,0.8095444444444444,0.9065555555555556,0.8609666666666667,0.9784333333333333,1.4380888888888888,1.5555333333333332,1.6136222222222223,1.793622222222222
2023-08,0.9590589330024814,1.0433281637717122,0.9547990074441687,1.0555306767868438,1.5809882133995037,1.681785359801489,1.6846625310173697,1.852796963946869,0.9556774193548387,1.0398709677419353,0.9503225806451613,1.0623548387096775,1.6149032258064515,1.7168387096774194,1.721709677419355,1.8951612903225807,0.920508064516129,1.0114112903225805,0.9388790322580646,1.061241935483871,1.5724193548387095,1.6823790322580645,1.707975806451613,1.8938709677419354,0.942883064516129,1.0306209677419356,0.9317741935483872,1.0400080645161291,1.5994475806451613,1.7056612903225807,1.6993306451612904,1.8681491935483872,0.9464193548387096,1.0492150537634408,0.9479032258064516,1.0681935483870968,1.6036451612903226,1.7282150537634406,1.718763440860215,1.9022580645161289,0.8534280397022331,0.9368945409429281,0.8797859801488833,0.9811752055660975,1.4541836228287843,1.5539832506203475,1.5946699751861044,1.763362428842505,0.8482258064516128,0.9334838709677419,0.8723870967741936,0.9843225806451613,1.4848387096774194,1.5881935483870968,1.627483870967742,1.8006774193548387,0.8149112903225807,0.9047258064516129,0.8656048387096774,0.9868467741935484,1.4445806451612901,1.5533467741935485,1.6194032258064517,1.803790322580645,0.8380846774193549,0.9249233870967742,0.8573870967741936,0.9662056451612904,1.4726411290322583,1.5778185483870968,1.6093669354838709,1.7788145161290323,0.8373978494623656,0.9376989247311829,0.876752688172043,0.9958172043010753,1.4718602150537636,1.5931935483870967,1.632741935483871,1.8146236559139783
2023-09,1.0164224358974359,1.0997230769230768,0.9899217948717949,1.0888575163398693,1.649674358974359,1.7492628205128204,1.726578205128205,1.892586274509804,1.0164666666666666,1.0982333333333334,0.9877,1.0975666666666666,1.6885000000000001,1.7874,1.7670333333333332,1.9377666666666669,0.9778249999999999,1.0675,0.9749416666666666,1.0951333333333333,1.6417083333333333,1.7501916666666666,1.751625,1.9348750000000001,1.0012083333333333,1.0879166666666669,0.968975,1.07365,1.6700666666666666,1.7749541666666666,1.7444083333333333,1.9088625000000001,0.9935111111111111,1.091288888888889,0.9853,1.1014444444444444,1.6607222222222222,1.779,1.7641777777777778,1.9424666666666668,0.9590589330024814,1.0433281637717122,0.9547990074441687,1.0555306767868438,1.5809882133995037,1.681785359801489,1.6846625310173697,1.852796963946869,0.9556774193548387,1.0398709677419353,0.9503225806451613,1.0623548387096775,1.6149032258064515,1.7168387096774194,1.721709677419355,1.8951612903225807,0.920508064516129,1.0114112903225805,0.9388790322580646,1.061241935483871,1.5724193548387095,1.6823790322580645,1.707975806451613,1.8938709677419354,0.942883064516129,1.0306209677419356,0.9317741935483872,1.0400080645161291,1.5994475806451613,1.7056612903225807,1.6993306451612904,1.8681491935483872,0.9464193548387096,1.0492150537634408,0.9479032258064516,1.0681935483870968,1.6036451612903226,1.7282150537634406,1.718763440860215,1.9022580645161289
2023-10,1.0155037220843672,1.0957053349875931,0.9340707196029776,1.0301644528779255,1.6484181141439207,1.7442332506203475,1.6594454094292803,1.821817836812144,1.0119354838709678,1.0923870967741938,0.9365161290322581,1.0400645161290323,1.683,1.7804193548387095,1.7051290322580646,1.8681612903225806,0.9776693548387096,1.0648306451612901,0.9111693548387096,1.0278870967741935,1.6415725806451613,1.7470161290322581,1.6744758064516128,1.853491935483871,1.0033629032258065,1.0866814516129033,0.9137298387096774,1.0134233870967742,1.6727056451612905,1.7734637096774195,1.6775766129032257,1.8360645161290323,0.988752688172043,1.0810967741935484,0.9294301075268817,1.0399354838709678,1.6549999999999998,1.766741935483871,1.6966559139784945,1.8680322580645161,1.0164224358974359,1.0997230769230768,0.9899217948717949,1.0888575163398693,1.649674358974359,1.7492628205128204,1.726578205128205,1.892586274509804,1.0164666666666666,1.0982333333333334,0.9877,1.0975666666666666,1.6885000000000001,1.7874,1.7670333333333332,1.9377666666666669,0.9778249999999999,1.0675,0.9749416666666666,1.0951333333333333,1.6417083333333333,1.7501916666666666,1.751625,1.9348750000000001,1.0012083333333333,1.0879166666666669,0.968975,1.07365,1.6700666666666666,1.7749541666666666,1.7444083333333333,1.9088625000000001,0.9935111111111111,1.091288888888889,0.9853,1.1014444444444444,1.6607222222222222,1.779,1.7641777777777778,1.9424666666666668
