Fecha,CCAA,Tipo_Producto,Producto_slug,Consumo_Tm
2023-01,Castilla - La Mancha,GASÓLEO B,GasoleoB,44238
2023-01,Castilla - La Mancha,GASÓLEO C,GasoleoC,14607
2023-01,Castilla - La Mancha,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,14944
2023-01,Castilla - La Mancha,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,503
2023-01,Castilla - La Mancha,OTRAS GASOLINAS,OtrasGasolinas,27
2023-01,Castilla - La Mancha,OTROS FUELÓLEOS,OtrosFueloleos,0
2023-01,Castilla - La Mancha,OTROS GASOLEOS,OtrosGasoleos,0
2023-01,Castilla - La Mancha,OTROS QUEROSENOS,OtrosQueroseno,0
2023-01,Castilla - La Mancha,QUEROSENO AVIACIÓN,QuerosenoAviacion,144
2023-01,Castilla y León,BIODIESEL,Biodiesel,0
2023-01,Castilla y León,BIOETANOL,Bioetanol,0
2023-01,Castilla y León,FUELÓLEO  BIA,Fueloleo_BIA,1255
2023-01,Castilla y León,GLP,GLP,9088
2023-01,Castilla y León,GASÓLEO A,GasoleoA,114070
2023-01,Castilla y León,GASÓLEO B,GasoleoB,39849
2023-01,Castilla y León,GASÓLEO C,GasoleoC,18258
2023-01,Castilla y León,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,18051
2023-01,Castilla y León,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,746
2023-01,Castilla y León,OTRAS GASOLINAS,OtrasGasolinas,18
2023-01,Castilla y León,OTROS FUELÓLEOS,OtrosFueloleos,0
2023-01,Castilla y León,OTROS GASOLEOS,OtrosGasoleos,0
2023-01,Castilla y León,OTROS QUEROSENOS,OtrosQueroseno,0
2023-01,Castilla y León,QUEROSENO AVIACIÓN,QuerosenoAviacion,153
2023-01,Cataluña,BIODIESEL,Biodiesel,85
2023-01,Cataluña,BIOETANOL,Bioetanol,0
2023-01,Cataluña,FUELÓLEO  BIA,Fueloleo_BIA,1385
2023-01,Cataluña,GLP,GLP,25202
2023-01,Cataluña,GASÓLEO A,GasoleoA,272954
2023-01,Cataluña,GASÓLEO B,GasoleoB,41870
2023-01,Cataluña,GASÓLEO C,GasoleoC,10906
2023-01,Cataluña,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,67508
2023-01,Cataluña,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,2929
2023-01,Cataluña,OTRAS GASOLINAS,OtrasGasolinas,52
2023-01,Cataluña,OTROS FUELÓLEOS,OtrosFueloleos,67314
2023-01,Cataluña,OTROS GASOLEOS,OtrosGasoleos,42626
2023-01,Cataluña,OTROS QUEROSENOS,OtrosQueroseno,3
2023-01,Cataluña,QUEROSENO AVIACIÓN,QuerosenoAviacion,69480
2023-01,Ceuta,BIODIESEL,Biodiesel,0
2023-01,Ceuta,BIOETANOL,Bioetanol,0
2023-01,Ceuta,FUELÓLEO  BIA,Fueloleo_BIA,2500
2023-01,Ceuta,GLP,GLP,245
2023-01,Ceuta,GASÓLEO A,GasoleoA,1009
2023-01,Ceuta,GASÓLEO B,GasoleoB,0
2023-01,Ceuta,GASÓLEO C,GasoleoC,1281
2023-01,Ceuta,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,446
2023-01,Ceuta,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,44
2023-01,Ceuta,OTRAS GASOLINAS,OtrasGasolinas,0
2023-01,Ceuta,OTROS FUELÓLEOS,OtrosFueloleos,7127
2023-01,Ceuta,OTROS GASOLEOS,OtrosGasoleos,4504
2023-01,Ceuta,OTROS QUEROSENOS,OtrosQueroseno,0
2023-01,Ceuta,QUEROSENO AVIACIÓN,QuerosenoAviacion,54
2023-01,Comunitat Valenciana,BIODIESEL,Biodiesel,52
2023-01,Comunitat Valenciana,BIOETANOL,Bioetanol,0
2023-01,Comunitat Valenciana,FUELÓLEO  BIA,Fueloleo_BIA,321
2023-01,Comunitat Valenciana,GLP,GLP,18180
2023-01,Comunitat Valenciana,GASÓLEO A,GasoleoA,144586
2023-01,Comunitat Valenciana,GASÓLEO B,GasoleoB,19038
2023-01,Comunitat Valenciana,GASÓLEO C,GasoleoC,3429
2023-01,Comunitat Valenciana,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,42263
2023-01,Comunitat Valenciana,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,1548
2023-01,Comunitat Valenciana,OTRAS GASOLINAS,OtrasGasolinas,44
2023-01,Comunitat Valenciana,OTROS FUELÓLEOS,OtrosFueloleos,21906
2023-01,Comunitat Valenciana,OTROS GASOLEOS,OtrosGasoleos,18202
2023-01,Comunitat Valenciana,OTROS QUEROSENOS,OtrosQueroseno,0
2023-01,Comunitat Valenciana,QUEROSENO AVIACIÓN,QuerosenoAviacion,25642
2023-01,ESPAÑA,BIODIESEL,Biodiesel,167
2023-01,ESPAÑA,BIOETANOL,Bioetanol,0
2023-01,ESPAÑA,FUELÓLEO  BIA,Fueloleo_BIA,102129
2023-01,ESPAÑA,GLP,GLP,165346
2023-01,ESPAÑA,GASÓLEO A,GasoleoA,1569235
2023-01,ESPAÑA,GASÓLEO B,GasoleoB,317668
2023-01,ESPAÑA,GASÓLEO C,GasoleoC,141175
2023-01,ESPAÑA,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,377544
2023-01,ESPAÑA,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,20565
2023-01,ESPAÑA,OTRAS GASOLINAS,OtrasGasolinas,287
2023-01,ESPAÑA,OTROS FUELÓLEOS,OtrosFueloleos,451560
2023-01,ESPAÑA,OTROS GASOLEOS,OtrosGasoleos,290392
2023-01,ESPAÑA,OTROS QUEROSENOS,OtrosQueroseno,9
2023-01,ESPAÑA,QUEROSENO AVIACIÓN,QuerosenoAviacion,443010
2023-01,Extremadura,BIODIESEL,Biodiesel,0
2023-01,Extremadura,BIOETANOL,Bioetanol,0
2023-01,Extremadura,FUELÓLEO  BIA,Fueloleo_BIA,402
2023-01,Extremadura,GLP,GLP,6397
2023-01,Extremadura,GASÓLEO A,GasoleoA,47073
2023-01,Extremadura,GASÓLEO B,GasoleoB,8931
