Fecha,CCAA,Provincia,Tipo_Producto,Producto_slug,Consumo_Tm,source_file
2023-01,Andalucía,Granada,QUEROSENO AVIACIÓN,QuerosenoAviacion,476,ds_14200_1.csv
2023-01,Andalucía,Huelva,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Andalucía,Huelva,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Andalucía,Huelva,FUELÓLEO  BIA,Fueloleo_BIA,607,ds_14200_1.csv
2023-01,Andalucía,Huelva,GLP,GLP,2866,ds_14200_1.csv
2023-01,Andalucía,Huelva,GASÓLEO A,GasoleoA,21101,ds_14200_1.csv
2023-01,Andalucía,Huelva,GASÓLEO B,GasoleoB,7245,ds_14200_1.csv
2023-01,Andalucía,Huelva,GASÓLEO C,GasoleoC,127,ds_14200_1.csv
2023-01,Andalucía,Huelva,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,3705,ds_14200_1.csv
2023-01,Andalucía,Huelva,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,116,ds_14200_1.csv
2023-01,Andalucía,Huelva,OTRAS GASOLINAS,OtrasGasolinas,0,ds_14200_1.csv
2023-01,Andalucía,Huelva,OTROS FUELÓLEOS,OtrosFueloleos,9736,ds_14200_1.csv
2023-01,Andalucía,Huelva,OTROS GASOLEOS,OtrosGasoleos,2837,ds_14200_1.csv
2023-01,Andalucía,Huelva,OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,Andalucía,Huelva,QUEROSENO AVIACIÓN,QuerosenoAviacion,0,ds_14200_1.csv
2023-01,Andalucía,Jaén,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Andalucía,Jaén,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Andalucía,Jaén,FUELÓLEO  BIA,Fueloleo_BIA,1194,ds_14200_1.csv
2023-01,Andalucía,Jaén,GLP,GLP,1911,ds_14200_1.csv
2023-01,Andalucía,Jaén,GASÓLEO A,GasoleoA,26937,ds_14200_1.csv
2023-01,Andalucía,Jaén,GASÓLEO B,GasoleoB,5109,ds_14200_1.csv
2023-01,Andalucía,Jaén,GASÓLEO C,GasoleoC,818,ds_14200_1.csv
2023-01,Andalucía,Jaén,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,4595,ds_14200_1.csv
2023-01,Andalucía,Jaén,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,96,ds_14200_1.csv
2023-01,Andalucía,Jaén,OTRAS GASOLINAS,OtrasGasolinas,1,ds_14200_1.csv
2023-01,Andalucía,Jaén,OTROS FUELÓLEOS,OtrosFueloleos,0,ds_14200_1.csv
2023-01,Andalucía,Jaén,OTROS GASOLEOS,OtrosGasoleos,0,ds_14200_1.csv
2023-01,Andalucía,Jaén,OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,Andalucía,Jaén,QUEROSENO AVIACIÓN,QuerosenoAviacion,0,ds_14200_1.csv
2023-01,Andalucía,Málaga,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Andalucía,Málaga,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Andalucía,Málaga,FUELÓLEO  BIA,Fueloleo_BIA,76,ds_14200_1.csv
2023-01,Andalucía,Málaga,GLP,GLP,6090,ds_14200_1.csv
2023-01,Andalucía,Málaga,GASÓLEO A,GasoleoA,41304,ds_14200_1.csv
2023-01,Andalucía,Málaga,GASÓLEO B,GasoleoB,4474,ds_14200_1.csv
2023-01,Andalucía,Málaga,GASÓLEO C,GasoleoC,495,ds_14200_1.csv
2023-01,Andalucía,Málaga,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,14138,ds_14200_1.csv
2023-01,Andalucía,Málaga,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,877,ds_14200_1.csv
2023-01,Andalucía,Málaga,OTRAS GASOLINAS,OtrasGasolinas,13,ds_14200_1.csv
2023-01,Andalucía,Málaga,OTROS FUELÓLEOS,OtrosFueloleos,1875,ds_14200_1.csv
2023-01,Andalucía,Málaga,OTROS GASOLEOS,OtrosGasoleos,443,ds_14200_1.csv
2023-01,Andalucía,Málaga,OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,Andalucía,Málaga,QUEROSENO AVIACIÓN,QuerosenoAviacion,24391,ds_14200_1.csv
2023-01,Andalucía,Sevilla,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Andalucía,Sevilla,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Andalucía,Sevilla,FUELÓLEO  BIA,Fueloleo_BIA,816,ds_14200_1.csv
2023-01,Andalucía,Sevilla,GLP,GLP,5720,ds_14200_1.csv
2023-01,Andalucía,Sevilla,GASÓLEO A,GasoleoA,48755,ds_14200_1.csv
2023-01,Andalucía,Sevilla,GASÓLEO B,GasoleoB,7394,ds_14200_1.csv
2023-01,Andalucía,Sevilla,GASÓLEO C,GasoleoC,776,ds_14200_1.csv
2023-01,Andalucía,Sevilla,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,12405,ds_14200_1.csv
2023-01,Andalucía,Sevilla,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,267,ds_14200_1.csv
2023-01,Andalucía,Sevilla,OTRAS GASOLINAS,OtrasGasolinas,8,ds_14200_1.csv
2023-01,Andalucía,Sevilla,OTROS FUELÓLEOS,OtrosFueloleos,233,ds_14200_1.csv
2023-01,Andalucía,Sevilla,OTROS GASOLEOS,OtrosGasoleos,770,ds_14200_1.csv
2023-01,Andalucía,Sevilla,OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,Andalucía,Sevilla,QUEROSENO AVIACIÓN,QuerosenoAviacion,9281,ds_14200_1.csv
2023-01,Aragón,Huesca,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Aragón,Huesca,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Aragón,Huesca,FUELÓLEO  BIA,Fueloleo_BIA,30,ds_14200_1.csv
2023-01,Aragón,Huesca,GLP,GLP,2857,ds_14200_1.csv
2023-01,Aragón,Huesca,GASÓLEO A,GasoleoA,12963,ds_14200_1.csv
2023-01,Aragón,Huesca,GASÓLEO B,GasoleoB,7440,ds_14200_1.csv
2023-01,Aragón,Huesca,GASÓLEO C,GasoleoC,1348,ds_14200_1.csv
2023-01,Aragón,Huesca,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,2409,ds_14200_1.csv
2023-01,Aragón,Huesca,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,126,ds_14200_1.csv
2023-01,Aragón,Huesca,OTRAS GASOLINAS,OtrasGasolinas,1,ds_14200_1.csv
2023-01,Aragón,Huesca,OTROS FUELÓLEOS,OtrosFueloleos,0,ds_14200_1.csv
2023-01,Aragón,Huesca,OTROS GASOLEOS,OtrosGasoleos,0,ds_14200_1.csv
2023-01,Aragón,Huesca,OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,Aragón,Huesca,QUEROSENO AVIACIÓN,QuerosenoAviacion,0,ds_14200_1.csv
2023-01,Aragón,Teruel,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Aragón,Teruel,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Aragón,Teruel,FUELÓLEO  BIA,Fueloleo_BIA,87,ds_14200_1.csv
2023-01,Aragón,Teruel,GLP,GLP,804,ds_14200_1.csv
2023-01,Aragón,Teruel,GASÓLEO A,GasoleoA,7581,ds_14200_1.csv
2023-01,Aragón,Teruel,GASÓLEO B,GasoleoB,4542,ds_14200_1.csv
2023-01,Aragón,Teruel,GASÓLEO C,GasoleoC,1112,ds_14200_1.csv
2023-01,Aragón,Teruel,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,1074,ds_14200_1.csv
2023-01,Aragón,Teruel,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,40,ds_14200_1.csv
2023-01,Aragón,Teruel,OTRAS GASOLINAS,OtrasGasolinas,0,ds_14200_1.csv
