Fecha,CCAA,CNMC_Biodiesel_Tm,GasoleoA_Tm,DieselPool_Tm,Biodiesel_GasoleoA_Ratio,Biodiesel_DieselPool_Share
2023-05,Aragón,121.0,69816.0,89229.0,0.0017331270768878194,0.0013560613701823398
2023-05,"Asturias, Principado de",0.0,34594.0,44094.0,0.0,0.0
2023-05,"Balears, Illes",7.0,33516.0,53792.0,0.00020885547201336674,0.0001301308744794765
2023-05,Canarias,0.0,57553.0,223232.0,0.0,0.0
2023-05,Cantabria,0.0,26331.0,31846.0,0.0,0.0
2023-05,Castilla - La Mancha,0.0,106419.0,136591.0,0.0,0.0
2023-05,Castilla y León,0.0,144289.0,189936.0,0.0,0.0
2023-05,Cataluña,169.0,312732.0,395951.0,0.0005403988079249965,0.0004268204904142179
2023-05,Ceuta,0.0,1058.0,7593.0,0.0,0.0
2023-05,Comunitat Valenciana,76.0,174990.0,212195.0,0.00043431053203040176,0.00035816112537995714
2023-05,ESPAÑA,431.0,1885680.0,2582956.0,0.00022856476178354757,0.00016686308245281764
2023-05,Extremadura,0.0,56813.0,67779.0,0.0,0.0
2023-05,Galicia,0.0,114434.0,163546.0,0.0,0.0
2023-05,"Madrid, Comunidad de",0.0,154674.0,167662.0,0.0,0.0
2023-05,Melilla,0.0,1127.0,1127.0,0.0,0.0
2023-05,"Murcia, Región de",0.0,81132.0,94084.0,0.0,0.0
2023-05,"Navarra, Comunidad Foral de",51.0,55177.0,61842.0,0.0009242981677148087,0.000824682254778306
2023-05,País Vasco,7.0,142621.0,164411.0,4.9081131109724375e-05,4.257622665150142e-05
2023-05,"Rioja, La",0.0,14490.0,17870.0,0.0,0.0
2023-06,Andalucía,0.0,302841.0,430416.0,0.0,0.0
2023-06,Aragón,136.0,68253.0,90306.0,0.001992586406458324,0.0015059907425863175
2023-06,"Asturias, Principado de",0.0,35245.0,44686.0,0.0,0.0
2023-06,"Balears, Illes",0.0,36609.0,62744.0,0.0,0.0
2023-06,Canarias,0.0,56078.0,210483.0,0.0,0.0
2023-06,Cantabria,0.0,23185.0,27821.0,0.0,0.0
2023-06,Castilla - La Mancha,6.0,96611.0,130821.0,6.21047292751343e-05,4.5864196115302586e-05
2023-06,Castilla y León,0.0,142120.0,181761.0,0.0,0.0
2023-06,Cataluña,133.0,329272.0,397042.0,0.0004039213780704099,0.0003349771560691312
2023-06,Ceuta,0.0,1042.0,9839.0,0.0,0.0
2023-06,Comunitat Valenciana,25.0,171725.0,237620.0,0.00014558159848595138,0.00010520999915832001
2023-06,ESPAÑA,379.0,1922421.0,2593870.0,0.00019714724298163617,0.00014611372196756198
2023-06,Extremadura,0.0,59240.0,72446.0,0.0,0.0
2023-06,Galicia,4.0,115666.0,158676.0,3.458233188663912e-05,2.5208601174720814e-05
2023-06,"Madrid, Comunidad de",42.0,166937.0,180294.0,0.00025159191790915137,0.00023295284368864187
2023-06,Melilla,0.0,1155.0,1155.0,0.0,0.0
2023-06,"Murcia, Región de",0.0,92943.0,106781.0,0.0,0.0
2023-06,"Navarra, Comunidad Foral de",0.0,49964.0,56867.0,0.0,0.0
2023-06,País Vasco,33.0,162481.0,179884.0,0.00020310067023221177,0.00018345155767049876
2023-06,"Rioja, La",0.0,11054.0,14228.0,0.0,0.0
2023-07,Andalucía,0.0,307739.0,452484.0,0.0,0.0
