Fecha,CCAA,Consumo_Tm,Target
2025-05,Andalucía,1591,Andalucía
2025-05,Cataluña,3209,Cataluña
2025-05,Comunitat Valenciana,868,Valencia
2025-05,"Madrid, Comunidad de",2961,Madrid
2025-06,Andalucía,2162,Andalucía
2025-06,Cataluña,3522,Cataluña
2025-06,Comunitat Valenciana,1045,Valencia
2025-06,"Madrid, Comunidad de",3747,Madrid
2025-07,Andalucía,2664,Andalucía
2025-07,Cataluña,3811,Cataluña
2025-07,Comunitat Valenciana,1448,Valencia
2025-07,"Madrid, Comunidad de",3854,Madrid
2025-08,Andalucía,1823,Andalucía
2025-08,Cataluña,2919,Cataluña
2025-08,Comunitat Valenciana,954,Valencia
2025-08,"Madrid, Comunidad de",2698,Madrid
2025-09,Andalucía,1612,Andalucía
2025-09,Cataluña,2503,Cataluña
2025-09,Comunitat Valenciana,900,Valencia
2025-09,"Madrid, Comunidad de",2821,Madrid
2025-10,Andalucía,1637,Andalucía
2025-10,Cataluña,3470,Cataluña
2025-10,Comunitat Valenciana,955,Valencia
2025-10,"Madrid, Comunidad de",2617,Madrid
2025-11,Andalucía,1565,Andalucía
2025-11,Cataluña,3081,Cataluña
2025-11,Comunitat Valenciana,1162,Valencia
2025-11,"Madrid, Comunidad de",3118,Madrid
2025-12,Andalucía,1911,Andalucía
2025-12,Cataluña,3362,Cataluña
2025-12,Comunitat Valenciana,1273,Valencia
2025-12,"Madrid, Comunidad de",2975,Madrid
