Fecha;CCAA;Provincia;Tipo Producto;Consumo Tm
2023-01;Andalucía;Almería;BIODIESEL;0
2023-01;Andalucía;Almería;GASÓLEO A;27269
2023-01;Andalucía;Almería;GASÓLEO B;5780
2023-01;Andalucía;Almería;GASÓLEO C;773
2023-01;Andalucía;Almería;OTROS GASOLEOS;1274
2023-01;Andalucía;Almería;BIOETANOL;0
2023-01;Andalucía;Almería;GASOLINA  AUTO. S/PB 95 I.O.;4345
2023-01;Andalucía;Almería;GASOLINA  AUTO. S/PB 98 I.O.;232
2023-01;Andalucía;Almería;OTRAS GASOLINAS;0
2023-01;Andalucía;Almería;FUELÓLEO  BIA;372
2023-01;Andalucía;Almería;OTROS FUELÓLEOS;2036
2023-01;Andalucía;Almería;QUEROSENO AVIACIÓN;152
2023-01;Andalucía;Almería;OTROS QUEROSENOS;0
2023-01;Andalucía;Almería;GLP;2522
2023-01;Andalucía;Cádiz;BIODIESEL;0
2023-01;Andalucía;Cádiz;GASÓLEO A;27535
2023-01;Andalucía;Cádiz;GASÓLEO B;5529
2023-01;Andalucía;Cádiz;GASÓLEO C;781
2023-01;Andalucía;Cádiz;OTROS GASOLEOS;65769
2023-01;Andalucía;Cádiz;BIOETANOL;0
2023-01;Andalucía;Cádiz;GASOLINA  AUTO. S/PB 95 I.O.;8258
2023-01;Andalucía;Cádiz;GASOLINA  AUTO. S/PB 98 I.O.;263
2023-01;Andalucía;Cádiz;OTRAS GASOLINAS;30
2023-01;Andalucía;Cádiz;FUELÓLEO  BIA;632
2023-01;Andalucía;Cádiz;OTROS FUELÓLEOS;237382
2023-01;Andalucía;Cádiz;QUEROSENO AVIACIÓN;619
2023-01;Andalucía;Cádiz;OTROS QUEROSENOS;0
2023-01;Andalucía;Cádiz;GLP;4177
2023-01;Andalucía;Córdoba;BIODIESEL;0
2023-01;Andalucía;Córdoba;GASÓLEO A;24722
2023-01;Andalucía;Córdoba;GASÓLEO B;7876
2023-01;Andalucía;Córdoba;GASÓLEO C;750
2023-01;Andalucía;Córdoba;OTROS GASOLEOS;0
2023-01;Andalucía;Córdoba;BIOETANOL;0
2023-01;Andalucía;Córdoba;GASOLINA  AUTO. S/PB 95 I.O.;4494
2023-01;Andalucía;Córdoba;GASOLINA  AUTO. S/PB 98 I.O.;99
2023-01;Andalucía;Córdoba;OTRAS GASOLINAS;12
2023-01;Andalucía;Córdoba;FUELÓLEO  BIA;85
