Grupos ECOICOP	Tipo de dato	Periodo	Total
02 Bebidas alcohólicas y tabaco	Media anual	2021	100,000
02 Bebidas alcohólicas y tabaco	Media anual	2020	99,700
02 Bebidas alcohólicas y tabaco	Media anual	2019	99,164
02 Bebidas alcohólicas y tabaco	Media anual	2018	98,504
02 Bebidas alcohólicas y tabaco	Media anual	2017	96,704
02 Bebidas alcohólicas y tabaco	Media anual	2016	95,090
02 Bebidas alcohólicas y tabaco	Media anual	2015	94,624
02 Bebidas alcohólicas y tabaco	Media anual	2014	93,356
02 Bebidas alcohólicas y tabaco	Media anual	2013	92,026
02 Bebidas alcohólicas y tabaco	Media anual	2012	86,746
02 Bebidas alcohólicas y tabaco	Media anual	2011	81,907
02 Bebidas alcohólicas y tabaco	Media anual	2010	74,318
02 Bebidas alcohólicas y tabaco	Media anual	2009	67,006
02 Bebidas alcohólicas y tabaco	Media anual	2008	61,557
02 Bebidas alcohólicas y tabaco	Media anual	2007	59,219
02 Bebidas alcohólicas y tabaco	Media anual	2006	55,334
02 Bebidas alcohólicas y tabaco	Media anual	2005	54,336
02 Bebidas alcohólicas y tabaco	Media anual	2004	51,711
02 Bebidas alcohólicas y tabaco	Media anual	2003	49,561
02 Bebidas alcohólicas y tabaco	Media anual	2002	47,950
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2025	3,8
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2024	4,0
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2023	7,6
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2022	3,9
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2021	0,3
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2020	0,5
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2019	0,7
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2018	1,9
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2017	1,7
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2016	0,5
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2015	1,4
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2014	1,4
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2013	6,1
