Grupos ECOICOP	Tipo de dato	Periodo	Total
09 Ocio y cultura	Variación de las medias anuales	2023	4,4
09 Ocio y cultura	Variación de las medias anuales	2022	2,8
09 Ocio y cultura	Variación de las medias anuales	2021	0,2
09 Ocio y cultura	Variación de las medias anuales	2020	-0,6
09 Ocio y cultura	Variación de las medias anuales	2019	-0,5
09 Ocio y cultura	Variación de las medias anuales	2018	-0,2
09 Ocio y cultura	Variación de las medias anuales	2017	1,1
09 Ocio y cultura	Variación de las medias anuales	2016	-1,0
09 Ocio y cultura	Variación de las medias anuales	2015	-0,4
09 Ocio y cultura	Variación de las medias anuales	2014	-1,4
09 Ocio y cultura	Variación de las medias anuales	2013	0,7
09 Ocio y cultura	Variación de las medias anuales	2012	0,7
09 Ocio y cultura	Variación de las medias anuales	2011	-0,1
09 Ocio y cultura	Variación de las medias anuales	2010	-1,2
09 Ocio y cultura	Variación de las medias anuales	2009	-0,4
09 Ocio y cultura	Variación de las medias anuales	2008	-0,1
09 Ocio y cultura	Variación de las medias anuales	2007	-0,7
09 Ocio y cultura	Variación de las medias anuales	2006	0,1
09 Ocio y cultura	Variación de las medias anuales	2005	-0,2
09 Ocio y cultura	Variación de las medias anuales	2004	0,1
09 Ocio y cultura	Variación de las medias anuales	2003	0,6
09 Ocio y cultura	Variación de las medias anuales	2002	""
10 Enseñanza	Media anual	2025	108,782
10 Enseñanza	Media anual	2024	106,080
10 Enseñanza	Media anual	2023	103,240
10 Enseñanza	Media anual	2022	101,249
10 Enseñanza	Media anual	2021	100,000
10 Enseñanza	Media anual	2020	99,846
10 Enseñanza	Media anual	2019	99,250
10 Enseñanza	Media anual	2018	98,295
10 Enseñanza	Media anual	2017	97,528
10 Enseñanza	Media anual	2016	96,642
10 Enseñanza	Media anual	2015	96,052
10 Enseñanza	Media anual	2014	95,040
10 Enseñanza	Media anual	2013	93,391
10 Enseñanza	Media anual	2012	86,410
10 Enseñanza	Media anual	2011	82,449
10 Enseñanza	Media anual	2010	80,510
10 Enseñanza	Media anual	2009	78,548
10 Enseñanza	Media anual	2008	75,905
10 Enseñanza	Media anual	2007	72,998
10 Enseñanza	Media anual	2006	69,872
10 Enseñanza	Media anual	2005	67,193
10 Enseñanza	Media anual	2004	64,465
10 Enseñanza	Media anual	2003	61,975
10 Enseñanza	Media anual	2002	59,097
10 Enseñanza	Variación de las medias anuales	2025	2,5
10 Enseñanza	Variación de las medias anuales	2024	2,8
10 Enseñanza	Variación de las medias anuales	2023	2,0
10 Enseñanza	Variación de las medias anuales	2022	1,2
10 Enseñanza	Variación de las medias anuales	2021	0,2
10 Enseñanza	Variación de las medias anuales	2020	0,6
10 Enseñanza	Variación de las medias anuales	2019	1,0
10 Enseñanza	Variación de las medias anuales	2018	0,8
10 Enseñanza	Variación de las medias anuales	2017	0,9
10 Enseñanza	Variación de las medias anuales	2016	0,6
10 Enseñanza	Variación de las medias anuales	2015	1,1
10 Enseñanza	Variación de las medias anuales	2014	1,8
10 Enseñanza	Variación de las medias anuales	2013	8,1
10 Enseñanza	Variación de las medias anuales	2012	4,8
10 Enseñanza	Variación de las medias anuales	2011	2,4
10 Enseñanza	Variación de las medias anuales	2010	2,5
10 Enseñanza	Variación de las medias anuales	2009	3,5
10 Enseñanza	Variación de las medias anuales	2008	4,0
10 Enseñanza	Variación de las medias anuales	2007	4,5
10 Enseñanza	Variación de las medias anuales	2006	4,0
10 Enseñanza	Variación de las medias anuales	2005	4,2
10 Enseñanza	Variación de las medias anuales	2004	4,0
10 Enseñanza	Variación de las medias anuales	2003	4,9
10 Enseñanza	Variación de las medias anuales	2002	""
11 Restaurantes y hoteles	Media anual	2025	124,309
11 Restaurantes y hoteles	Media anual	2024	119,180
11 Restaurantes y hoteles	Media anual	2023	113,676
11 Restaurantes y hoteles	Media anual	2022	106,402
11 Restaurantes y hoteles	Media anual	2021	100,000
11 Restaurantes y hoteles	Media anual	2020	99,135
11 Restaurantes y hoteles	Media anual	2019	98,066
11 Restaurantes y hoteles	Media anual	2018	96,146
11 Restaurantes y hoteles	Media anual	2017	94,334
11 Restaurantes y hoteles	Media anual	2016	92,612
11 Restaurantes y hoteles	Media anual	2015	91,593
11 Restaurantes y hoteles	Media anual	2014	90,825
11 Restaurantes y hoteles	Media anual	2013	90,394
11 Restaurantes y hoteles	Media anual	2012	89,942
11 Restaurantes y hoteles	Media anual	2011	89,151
11 Restaurantes y hoteles	Media anual	2010	87,759
11 Restaurantes y hoteles	Media anual	2009	86,708
11 Restaurantes y hoteles	Media anual	2008	85,065
11 Restaurantes y hoteles	Media anual	2007	81,238
11 Restaurantes y hoteles	Media anual	2006	77,482
11 Restaurantes y hoteles	Media anual	2005	74,178
11 Restaurantes y hoteles	Media anual	2004	71,176
11 Restaurantes y hoteles	Media anual	2003	68,410
11 Restaurantes y hoteles	Media anual	2002	65,587
11 Restaurantes y hoteles	Variación de las medias anuales	2025	4,3
11 Restaurantes y hoteles	Variación de las medias anuales	2024	4,8
11 Restaurantes y hoteles	Variación de las medias anuales	2023	6,8
11 Restaurantes y hoteles	Variación de las medias anuales	2022	6,4
11 Restaurantes y hoteles	Variación de las medias anuales	2021	0,9
11 Restaurantes y hoteles	Variación de las medias anuales	2020	1,1
11 Restaurantes y hoteles	Variación de las medias anuales	2019	2,0
11 Restaurantes y hoteles	Variación de las medias anuales	2018	1,9
11 Restaurantes y hoteles	Variación de las medias anuales	2017	1,9
11 Restaurantes y hoteles	Variación de las medias anuales	2016	1,1
11 Restaurantes y hoteles	Variación de las medias anuales	2015	0,8
11 Restaurantes y hoteles	Variación de las medias anuales	2014	0,5
11 Restaurantes y hoteles	Variación de las medias anuales	2013	0,5
11 Restaurantes y hoteles	Variación de las medias anuales	2012	0,9
11 Restaurantes y hoteles	Variación de las medias anuales	2011	1,6
11 Restaurantes y hoteles	Variación de las medias anuales	2010	1,2
11 Restaurantes y hoteles	Variación de las medias anuales	2009	1,9
11 Restaurantes y hoteles	Variación de las medias anuales	2008	4,7
11 Restaurantes y hoteles	Variación de las medias anuales	2007	4,8
11 Restaurantes y hoteles	Variación de las medias anuales	2006	4,5
11 Restaurantes y hoteles	Variación de las medias anuales	2005	4,2
11 Restaurantes y hoteles	Variación de las medias anuales	2004	4,0
11 Restaurantes y hoteles	Variación de las medias anuales	2003	4,3
11 Restaurantes y hoteles	Variación de las medias anuales	2002	""
12 Otros bienes y servicios	Media anual	2025	115,845
12 Otros bienes y servicios	Media anual	2024	111,909
12 Otros bienes y servicios	Media anual	2023	108,432
12 Otros bienes y servicios	Media anual	2022	103,516
12 Otros bienes y servicios	Media anual	2021	100,000
12 Otros bienes y servicios	Media anual	2020	99,013
12 Otros bienes y servicios	Media anual	2019	97,626
12 Otros bienes y servicios	Media anual	2018	96,283
12 Otros bienes y servicios	Media anual	2017	95,422
12 Otros bienes y servicios	Media anual	2016	94,584
12 Otros bienes y servicios	Media anual	2015	93,100
12 Otros bienes y servicios	Media anual	2014	91,643
12 Otros bienes y servicios	Media anual	2013	90,748
12 Otros bienes y servicios	Media anual	2012	88,933
12 Otros bienes y servicios	Media anual	2011	86,905
12 Otros bienes y servicios	Media anual	2010	84,438
12 Otros bienes y servicios	Media anual	2009	82,556
12 Otros bienes y servicios	Media anual	2008	80,529
12 Otros bienes y servicios	Media anual	2007	77,947
12 Otros bienes y servicios	Media anual	2006	75,488
12 Otros bienes y servicios	Media anual	2005	72,818
12 Otros bienes y servicios	Media anual	2004	70,649
12 Otros bienes y servicios	Media anual	2003	68,576
12 Otros bienes y servicios	Media anual	2002	66,372
12 Otros bienes y servicios	Variación de las medias anuales	2025	3,5
12 Otros bienes y servicios	Variación de las medias anuales	2024	3,2
12 Otros bienes y servicios	Variación de las medias anuales	2023	4,7
12 Otros bienes y servicios	Variación de las medias anuales	2022	3,5
12 Otros bienes y servicios	Variación de las medias anuales	2021	1,0
12 Otros bienes y servicios	Variación de las medias anuales	2020	1,4
12 Otros bienes y servicios	Variación de las medias anuales	2019	1,4
12 Otros bienes y servicios	Variación de las medias anuales	2018	0,9
12 Otros bienes y servicios	Variación de las medias anuales	2017	0,9
12 Otros bienes y servicios	Variación de las medias anuales	2016	1,6
12 Otros bienes y servicios	Variación de las medias anuales	2015	1,6
12 Otros bienes y servicios	Variación de las medias anuales	2014	1,0
12 Otros bienes y servicios	Variación de las medias anuales	2013	2,0
12 Otros bienes y servicios	Variación de las medias anuales	2012	2,3
12 Otros bienes y servicios	Variación de las medias anuales	2011	2,9
12 Otros bienes y servicios	Variación de las medias anuales	2010	2,3
12 Otros bienes y servicios	Variación de las medias anuales	2009	2,5
12 Otros bienes y servicios	Variación de las medias anuales	2008	3,3
12 Otros bienes y servicios	Variación de las medias anuales	2007	3,3
12 Otros bienes y servicios	Variación de las medias anuales	2006	3,7
12 Otros bienes y servicios	Variación de las medias anuales	2005	3,1
12 Otros bienes y servicios	Variación de las medias anuales	2004	3,0
12 Otros bienes y servicios	Variación de las medias anuales	2003	3,3
12 Otros bienes y servicios	Variación de las medias anuales	2002	""
