Target,Model,Scenario,Fecha,Forecast,Selected_Model_Uses_Scenario_Inputs
Nacional,Random Forest,Neutral,2027-08,20850.3,False
Nacional,Random Forest,Neutral,2027-09,20674.8,False
Nacional,Random Forest,Neutral,2027-10,20736.0,False
Nacional,Random Forest,Neutral,2027-11,20852.3,False
Nacional,Random Forest,Neutral,2027-12,20636.2,False
Nacional,Random Forest,Macro_Downturn,2026-01,13059.0,False
Nacional,Random Forest,Macro_Downturn,2026-02,11882.3,False
Nacional,Random Forest,Macro_Downturn,2026-03,11583.8,False
Nacional,Random Forest,Macro_Downturn,2026-04,11001.3,False
Nacional,Random Forest,Macro_Downturn,2026-05,10384.3,False
Nacional,Random Forest,Macro_Downturn,2026-06,10247.4,False
Nacional,Random Forest,Macro_Downturn,2026-07,10037.3,False
Nacional,Random Forest,Macro_Downturn,2026-08,9625.5,False
Nacional,Random Forest,Macro_Downturn,2026-09,9489.6,False
Nacional,Random Forest,Macro_Downturn,2026-10,9425.2,False
Nacional,Random Forest,Macro_Downturn,2026-11,9259.3,False
Nacional,Random Forest,Macro_Downturn,2026-12,9377.7,False
Nacional,Random Forest,Macro_Downturn,2027-01,9276.9,False
Nacional,Random Forest,Macro_Downturn,2027-02,9359.2,False
Nacional,Random Forest,Macro_Downturn,2027-03,9359.2,False
Nacional,Random Forest,Macro_Downturn,2027-04,9281.3,False
Nacional,Random Forest,Macro_Downturn,2027-05,9196.2,False
Nacional,Random Forest,Macro_Downturn,2027-06,8937.3,False
Nacional,Random Forest,Macro_Downturn,2027-07,8887.0,False
Nacional,Random Forest,Macro_Downturn,2027-08,8931.0,False
Nacional,Random Forest,Macro_Downturn,2027-09,9101.2,False
Nacional,Random Forest,Macro_Downturn,2027-10,9130.6,False
Nacional,Random Forest,Macro_Downturn,2027-11,9032.6,False
Nacional,Random Forest,Macro_Downturn,2027-12,9240.3,False
Nacional,Random Forest,Mandate_Delayed,2026-01,20589.6,False
Nacional,Random Forest,Mandate_Delayed,2026-02,20411.5,False
Nacional,Random Forest,Mandate_Delayed,2026-03,20396.1,False
Nacional,Random Forest,Mandate_Delayed,2026-04,20455.8,False
Nacional,Random Forest,Mandate_Delayed,2026-05,20554.9,False
Nacional,Random Forest,Mandate_Delayed,2026-06,20887.1,False
Nacional,Random Forest,Mandate_Delayed,2026-07,20893.2,False
Nacional,Random Forest,Mandate_Delayed,2026-08,20850.3,False
Nacional,Random Forest,Mandate_Delayed,2026-09,20674.8,False
Nacional,Random Forest,Mandate_Delayed,2026-10,20736.0,False
Nacional,Random Forest,Mandate_Delayed,2026-11,20852.3,False
Nacional,Random Forest,Mandate_Delayed,2026-12,20636.2,False
Nacional,Random Forest,Mandate_Delayed,2027-01,20618.3,False
Nacional,Random Forest,Mandate_Delayed,2027-02,20440.0,False
Nacional,Random Forest,Mandate_Delayed,2027-03,20424.6,False
Nacional,Random Forest,Mandate_Delayed,2027-04,20455.8,False
Nacional,Random Forest,Mandate_Delayed,2027-05,20554.9,False
Nacional,Random Forest,Mandate_Delayed,2027-06,20887.1,False
Nacional,Random Forest,Mandate_Delayed,2027-07,20893.2,False
Nacional,Random Forest,Mandate_Delayed,2027-08,20850.3,False
Nacional,Random Forest,Mandate_Delayed,2027-09,20674.8,False
Nacional,Random Forest,Mandate_Delayed,2027-10,20736.0,False
Nacional,Random Forest,Mandate_Delayed,2027-11,20852.3,False
Nacional,Random Forest,Mandate_Delayed,2027-12,20636.2,False
Nacional,XGBoost,Neutral,2026-01,16510.4,False
Nacional,XGBoost,Neutral,2026-02,16477.6,False
Nacional,XGBoost,Neutral,2026-03,17105.0,False
Nacional,XGBoost,Neutral,2026-04,17554.0,False
Nacional,XGBoost,Neutral,2026-05,18530.6,False
Nacional,XGBoost,Neutral,2026-06,18746.0,False
Nacional,XGBoost,Neutral,2026-07,18746.0,False
Nacional,XGBoost,Neutral,2026-08,18746.0,False
Nacional,XGBoost,Neutral,2026-09,18744.7,False
Nacional,XGBoost,Neutral,2026-10,18746.0,False
Nacional,XGBoost,Neutral,2026-11,18746.0,False
Nacional,XGBoost,Neutral,2026-12,18744.7,False
Nacional,XGBoost,Neutral,2027-01,16510.4,False
Nacional,XGBoost,Neutral,2027-02,16477.6,False
Nacional,XGBoost,Neutral,2027-03,17105.0,False
Nacional,XGBoost,Neutral,2027-04,17554.0,False
