Target,Model,MAE,RMSE,MAPE,R2
Nacional,SARIMA,4278.0,4921.8,29.0,-0.009
Madrid,Logistic,1924.0,2057.2,73.6,-8.273
Cataluña,SARIMAX,2722.3,2862.4,92.3,-19.827
Andalucía,SARIMA,853.5,1027.6,49.7,-1.662
Valencia,Gompertz,360.3,446.6,34.2,-1.246
