Target,Validation_Gate,Selection_Candidate_Set,Eligible_Final_Models,SARIMA,SARIMAX,Logistic,Gompertz,Ridge,Random Forest,XGBoost,Diesel Share,Pooled Ridge,Pooled Random Forest,Pooled XGBoost,Proposed_Model,Selected_Model,Selected_Model_Training_WalkForward_MAPE,Decision
Nacional,recursive_12m_walk_forward,seven_independent_target_models,"SARIMA, SARIMAX, Logistic, Gompertz, Ridge, Random Forest, XGBoost",39.70051223214409,54.157313248048794,43.12044472266075,43.622948335460634,86.13099862102379,79.60039501923018,77.12545077633462,83.36577325544687,inf,inf,inf,SARIMA,SARIMA,39.70051223214409,selected_by_training_only_walk_forward
Madrid,recursive_12m_walk_forward,seven_independent_target_models,"SARIMA, SARIMAX, Logistic, Gompertz, Ridge, Random Forest, XGBoost",73.22314496169136,94.26788380973358,37.218453010916484,59.227796097379795,6559.755470889197,86.87123900522829,86.33476187450165,143.3162852462687,158052.70307073588,75.53316045529552,81.91831942987825,Logistic,Logistic,37.218453010916484,selected_by_training_only_walk_forward
Cataluña,recursive_12m_walk_forward,seven_independent_target_models,"SARIMA, SARIMAX, Logistic, Gompertz, Ridge, Random Forest, XGBoost",69.5881473711033,68.49633730314734,82.47270519994709,82.80594165755768,87.96994084782656,85.33477752320384,85.05613937509013,85.94812690336867,150130.53182316685,78.90467001486044,83.33090062295237,SARIMAX,SARIMAX,68.49633730314734,selected_by_training_only_walk_forward
Andalucía,recursive_12m_walk_forward,seven_independent_target_models,"SARIMA, SARIMAX, Logistic, Gompertz, Ridge, Random Forest, XGBoost",53.90805165410243,89.83407479578003,68.30351725769361,68.68080054709593,96.39787515893705,90.53672599230366,84.32660753856604,309.07021473885004,83.14802260751043,66.84426289683051,76.27681748800218,SARIMA,SARIMA,53.90805165410243,selected_by_training_only_walk_forward
Valencia,recursive_12m_walk_forward,seven_independent_target_models,"SARIMA, SARIMAX, Logistic, Gompertz, Ridge, Random Forest, XGBoost",59.27007175637799,87.4609614487974,60.54215753806115,57.2678032281253,99.01813116301703,99.28585165619629,98.92585126705521,98.92184430309217,84.70152583159307,74.29187422737242,82.96707432444502,Gompertz,Gompertz,57.2678032281253,selected_by_training_only_walk_forward
