Fecha,Target,Model,Forecast,CI_Lower,CI_Upper
2027-05,Andalucía,SARIMA,2087.3,538.0,8089.3
2027-06,Andalucía,SARIMA,2088.9,517.7,8420.1
2027-07,Andalucía,SARIMA,2090.0,498.5,8753.0
2027-08,Andalucía,SARIMA,2088.0,479.7,9076.3
2027-09,Andalucía,SARIMA,2087.3,462.5,9409.1
2027-10,Andalucía,SARIMA,2087.4,446.3,9749.1
2027-11,Andalucía,SARIMA,2087.2,431.0,10091.8
2027-12,Andalucía,SARIMA,2088.2,416.8,10445.3
2026-01,Valencia,SARIMA,1376.9,1188.4,1595.3
2026-02,Valencia,SARIMA,1439.5,1185.3,1748.2
2026-03,Valencia,SARIMA,1477.5,1132.0,1928.5
2026-04,Valencia,SARIMA,1483.9,1075.0,2048.4
2026-05,Valencia,SARIMA,1472.4,1005.7,2155.6
2026-06,Valencia,SARIMA,1464.8,949.6,2259.2
2026-07,Valencia,SARIMA,1432.2,882.8,2323.2
2026-08,Valencia,SARIMA,1497.7,881.2,2545.2
2026-09,Valencia,SARIMA,1511.8,850.9,2685.3
2026-10,Valencia,SARIMA,1507.7,814.0,2791.9
2026-11,Valencia,SARIMA,1483.3,769.7,2857.3
2026-12,Valencia,SARIMA,1472.7,736.1,2945.6
2027-01,Valencia,SARIMA,1463.4,708.6,3021.2
2027-02,Valencia,SARIMA,1458.3,684.5,3105.6
2027-03,Valencia,SARIMA,1455.4,663.9,3189.2
2027-04,Valencia,SARIMA,1455.3,645.8,3278.2
2027-05,Valencia,SARIMA,1456.7,629.6,3368.5
2027-06,Valencia,SARIMA,1457.7,614.2,3457.3
2027-07,Valencia,SARIMA,1460.9,600.7,3550.8
2027-08,Valencia,SARIMA,1454.9,584.1,3621.5
2027-09,Valencia,SARIMA,1453.7,570.3,3703.1
2027-10,Valencia,SARIMA,1454.1,557.7,3788.6
2027-11,Valencia,SARIMA,1456.4,546.4,3878.9
2027-12,Valencia,SARIMA,1457.4,535.2,3965.8
