Fecha,Serie,Scenario,Forecast_Tm
2027-10,Madrid,Optimistic,4041.5
2027-11,Madrid,Optimistic,4003.1
2027-12,Madrid,Optimistic,3992.6
2026-01,Cataluña,Conservative,3458.1
2026-02,Cataluña,Conservative,3517.5
2026-03,Cataluña,Conservative,3588.0
2026-04,Cataluña,Conservative,3656.3
2026-05,Cataluña,Conservative,3708.9
2026-06,Cataluña,Conservative,3735.8
2026-07,Cataluña,Conservative,3733.4
2026-08,Cataluña,Conservative,3705.3
2026-09,Cataluña,Conservative,3661.5
2026-10,Cataluña,Conservative,3616.0
2026-11,Cataluña,Conservative,3582.8
2026-12,Cataluña,Conservative,3572.4
2027-01,Cataluña,Conservative,3588.8
2027-02,Cataluña,Conservative,3628.8
2027-03,Cataluña,Conservative,3682.7
2027-04,Cataluña,Conservative,3736.7
2027-05,Cataluña,Conservative,3777.2
2027-06,Cataluña,Conservative,3793.8
2027-07,Cataluña,Conservative,3782.5
2027-08,Cataluña,Conservative,3746.9
2027-09,Cataluña,Conservative,3696.8
2027-10,Cataluña,Conservative,3645.9
2027-11,Cataluña,Conservative,3608.1
2027-12,Cataluña,Conservative,3593.8
2026-01,Cataluña,Central,3484.5
2026-02,Cataluña,Central,3566.6
2026-03,Cataluña,Central,3656.4
2026-04,Cataluña,Central,3741.2
2026-05,Cataluña,Central,3807.9
2026-06,Cataluña,Central,3846.8
2026-07,Cataluña,Central,3854.6
2026-08,Cataluña,Central,3835.2
2026-09,Cataluña,Central,3798.8
2026-10,Cataluña,Central,3759.5
2026-11,Cataluña,Central,3731.6
2026-12,Cataluña,Central,3725.7
2027-01,Cataluña,Central,3745.9
2027-02,Cataluña,Central,3789.2
2027-03,Cataluña,Central,3845.7
2027-04,Cataluña,Central,3902.1
2027-05,Cataluña,Central,3944.5
2027-06,Cataluña,Central,3962.8
2027-07,Cataluña,Central,3952.9
2027-08,Cataluña,Central,3918.5
2027-09,Cataluña,Central,3869.4
2027-10,Cataluña,Central,3819.3
2027-11,Cataluña,Central,3782.3
2027-12,Cataluña,Central,3768.6
2026-01,Cataluña,Optimistic,3510.9
2026-02,Cataluña,Optimistic,3615.6
2026-03,Cataluña,Optimistic,3724.8
2026-04,Cataluña,Optimistic,3826.1
2026-05,Cataluña,Optimistic,3906.9
2026-06,Cataluña,Optimistic,3957.9
2026-07,Cataluña,Optimistic,3975.8
2026-08,Cataluña,Optimistic,3965.1
2026-09,Cataluña,Optimistic,3936.0
2026-10,Cataluña,Optimistic,3903.0
2026-11,Cataluña,Optimistic,3880.5
2026-12,Cataluña,Optimistic,3879.0
2027-01,Cataluña,Optimistic,3903.0
2027-02,Cataluña,Optimistic,3949.5
2027-03,Cataluña,Optimistic,4008.8
2027-04,Cataluña,Optimistic,4067.5
2027-05,Cataluña,Optimistic,4111.8
2027-06,Cataluña,Optimistic,4131.7
2027-07,Cataluña,Optimistic,4123.3
2027-08,Cataluña,Optimistic,4090.1
2027-09,Cataluña,Optimistic,4042.0
2027-10,Cataluña,Optimistic,3992.8
2027-11,Cataluña,Optimistic,3956.4
2027-12,Cataluña,Optimistic,3943.3
2026-01,Andalucía,Conservative,1874.4
2026-02,Andalucía,Conservative,1954.9
2026-03,Andalucía,Conservative,2076.2
2026-04,Andalucía,Conservative,2215.1
2026-05,Andalucía,Conservative,2342.8
2026-06,Andalucía,Conservative,2432.9
2026-07,Andalucía,Conservative,2468.9
2026-08,Andalucía,Conservative,2447.7
2026-09,Andalucía,Conservative,2381.4
2026-10,Andalucía,Conservative,2293.5
2026-11,Andalucía,Conservative,2212.9
2026-12,Andalucía,Conservative,2166.1
2027-01,Andalucía,Conservative,2170.0
2027-02,Andalucía,Conservative,2227.8
2027-03,Andalucía,Conservative,2327.8
2027-04,Andalucía,Conservative,2446.4
2027-05,Andalucía,Conservative,2555.1
2027-06,Andalucía,Conservative,2627.7
2027-07,Andalucía,Conservative,2647.1
2027-08,Andalucía,Conservative,2610.7
2027-09,Andalucía,Conservative,2530.3
2027-10,Andalucía,Conservative,2429.3
2027-11,Andalucía,Conservative,2336.7
2027-12,Andalucía,Conservative,2278.8
2026-01,Andalucía,Central,1913.2
2026-02,Andalucía,Central,2030.0
2026-03,Andalucía,Central,2185.2
2026-04,Andalucía,Central,2355.6
2026-05,Andalucía,Central,2512.5
2026-06,Andalucía,Central,2629.7
2026-07,Andalucía,Central,2690.6
2026-08,Andalucía,Central,2692.5
2026-09,Andalucía,Central,2647.3
2026-10,Andalucía,Central,2578.9
2026-11,Andalucía,Central,2516.1
2026-12,Andalucía,Central,2485.6
2027-01,Andalucía,Central,2504.4
2027-02,Andalucía,Central,2575.9
2027-03,Andalucía,Central,2688.2
2027-04,Andalucía,Central,2818.2
2027-05,Andalucía,Central,2937.2
2027-06,Andalucía,Central,3019.1
2027-07,Andalucía,Central,3047.1
2027-08,Andalucía,Central,3018.5
2027-09,Andalucía,Central,2945.1
2027-10,Andalucía,Central,2850.5
2027-11,Andalucía,Central,2763.7
2027-12,Andalucía,Central,2711.1
2026-01,Andalucía,Optimistic,1951.9
2026-02,Andalucía,Optimistic,2105.0
2026-03,Andalucía,Optimistic,2294.1
2026-04,Andalucía,Optimistic,2496.0
2026-05,Andalucía,Optimistic,2682.2
2026-06,Andalucía,Optimistic,2826.5
2026-07,Andalucía,Optimistic,2912.4
2026-08,Andalucía,Optimistic,2937.2
2026-09,Andalucía,Optimistic,2913.2
