Target,SARIMA,Ridge,Random Forest,XGBoost,Logistic,Gompertz,Selected_Model
Nacional,12.454761381957681,58.519843727313564,54.75509790157181,52.77897812039873,22.094084376623748,20.56346719430566,SARIMA
Madrid,11.571456646776365,187.94844346938729,67.0941783433002,65.03571851327939,12.495724714296198,9.933973092834758,Gompertz
Cataluña,65.1165777038404,42.915222270852105,60.04192874638642,56.903868124092476,40.41714653562427,31.975490616413715,Gompertz
Andalucía,28.131307865995545,133.433254706414,52.71365211455095,59.346609310509606,16.677471434855036,21.13198175214533,Logistic
Valencia,17.077193041468515,28.178916471148632,74.94042088958768,73.82500621366904,17.502544931254157,14.848078224690667,Gompertz
