Fecha,Target,Model,Forecast
2026-04,Nacional,Random Forest,20555.3
2026-05,Nacional,Random Forest,20570.9
2026-06,Nacional,Random Forest,20905.1
2026-07,Nacional,Random Forest,20955.8
2026-08,Nacional,Random Forest,20909.7
2026-09,Nacional,Random Forest,20769.8
2026-10,Nacional,Random Forest,20762.0
2026-11,Nacional,Random Forest,20878.6
2026-12,Nacional,Random Forest,20671.9
2027-01,Nacional,Random Forest,20658.0
2027-02,Nacional,Random Forest,20573.4
2027-03,Nacional,Random Forest,20568.2
2027-04,Nacional,Random Forest,20555.3
2027-05,Nacional,Random Forest,20570.9
2027-06,Nacional,Random Forest,20905.1
2027-07,Nacional,Random Forest,20955.8
2027-08,Nacional,Random Forest,20909.7
2027-09,Nacional,Random Forest,20769.8
2027-10,Nacional,Random Forest,20762.0
2027-11,Nacional,Random Forest,20878.6
2027-12,Nacional,Random Forest,20671.9
2026-01,Nacional,XGBoost,16516.6
2026-02,Nacional,XGBoost,16440.5
2026-03,Nacional,XGBoost,17422.2
2026-04,Nacional,XGBoost,17803.7
2026-05,Nacional,XGBoost,18559.3
2026-06,Nacional,XGBoost,18232.5
2026-07,Nacional,XGBoost,18822.3
2026-08,Nacional,XGBoost,18822.3
2026-09,Nacional,XGBoost,18822.3
2026-10,Nacional,XGBoost,18822.3
2026-11,Nacional,XGBoost,18815.1
2026-12,Nacional,XGBoost,18822.3
2027-01,Nacional,XGBoost,16516.6
2027-02,Nacional,XGBoost,16440.5
2027-03,Nacional,XGBoost,17422.2
2027-04,Nacional,XGBoost,17803.7
2027-05,Nacional,XGBoost,18559.3
2027-06,Nacional,XGBoost,18232.5
2027-07,Nacional,XGBoost,18822.3
2027-08,Nacional,XGBoost,18822.3
2027-09,Nacional,XGBoost,18822.3
2027-10,Nacional,XGBoost,18822.3
2027-11,Nacional,XGBoost,18815.1
2027-12,Nacional,XGBoost,18822.3
2026-01,Nacional,Diesel Share,328463.0
2026-02,Nacional,Diesel Share,511861.2
2026-03,Nacional,Diesel Share,543906.9
2026-04,Nacional,Diesel Share,233894.5
2026-05,Nacional,Diesel Share,53990.3
2026-06,Nacional,Diesel Share,80833.9
2026-07,Nacional,Diesel Share,407304.5
2026-08,Nacional,Diesel Share,524634.9
2026-09,Nacional,Diesel Share,540870.3
2026-10,Nacional,Diesel Share,325239.9
2026-11,Nacional,Diesel Share,85851.2
2026-12,Nacional,Diesel Share,120514.4
2027-01,Nacional,Diesel Share,288184.5
2027-02,Nacional,Diesel Share,511861.2
2027-03,Nacional,Diesel Share,543906.9
2027-04,Nacional,Diesel Share,442929.8
