Target,RF_base_WF_MAPE,RF_price_WF_MAPE,XGB_base_WF_MAPE,XGB_price_WF_MAPE
Nacional,54.75509790157181,55.02875059463133,51.97020744857441,51.98013785361544
Madrid,67.0941783433002,67.15878340152273,65.38040701885127,66.01053289471852
Cataluña,60.04192874638642,59.66092198361635,56.45295594309381,56.60692891902467
Andalucía,52.71365211455095,69.1822093841359,56.24994094084176,56.57294541247004
Valencia,74.94042088958768,75.87630590969601,77.23702835715517,77.36328600373935
