Fecha;CCAA;Provincia;Tipo Producto;Consumo Tm
2025-01;Andalucía;Almería;BIODIESEL;208
2025-01;Andalucía;Almería;GASÓLEO A;32161
2025-01;Andalucía;Almería;GASÓLEO B;6247
2025-01;Andalucía;Almería;GASÓLEO C;760
2025-01;Andalucía;Almería;OTROS GASOLEOS;875
2025-01;Andalucía;Almería;BIOETANOL;0
2025-01;Andalucía;Almería;GASOLINA  AUTO. S/PB 95 I.O.;5799
2025-01;Andalucía;Almería;GASOLINA  AUTO. S/PB 98 I.O.;269
2025-01;Andalucía;Almería;OTRAS GASOLINAS;2
2025-01;Andalucía;Almería;FUELÓLEO  BIA;147
2025-01;Andalucía;Almería;OTROS FUELÓLEOS;1552
2025-01;Andalucía;Almería;QUEROSENO AVIACIÓN;292
2025-01;Andalucía;Almería;OTROS QUEROSENOS;0
2025-01;Andalucía;Almería;GLP;3186
2025-01;Andalucía;Cádiz;BIODIESEL;73
2025-01;Andalucía;Cádiz;GASÓLEO A;29986
2025-01;Andalucía;Cádiz;GASÓLEO B;6700
2025-01;Andalucía;Cádiz;GASÓLEO C;716
2025-01;Andalucía;Cádiz;OTROS GASOLEOS;34946
2025-01;Andalucía;Cádiz;BIOETANOL;0
2025-01;Andalucía;Cádiz;GASOLINA  AUTO. S/PB 95 I.O.;10384
2025-01;Andalucía;Cádiz;GASOLINA  AUTO. S/PB 98 I.O.;355
2025-01;Andalucía;Cádiz;OTRAS GASOLINAS;20
2025-01;Andalucía;Cádiz;FUELÓLEO  BIA;34533
2025-01;Andalucía;Cádiz;OTROS FUELÓLEOS;230705
2025-01;Andalucía;Cádiz;QUEROSENO AVIACIÓN;557
2025-01;Andalucía;Cádiz;OTROS QUEROSENOS;0
2025-01;Andalucía;Cádiz;GLP;4276
2025-01;Andalucía;Córdoba;BIODIESEL;37
2025-01;Andalucía;Córdoba;GASÓLEO A;30702
2025-01;Andalucía;Córdoba;GASÓLEO B;8057
2025-01;Andalucía;Córdoba;GASÓLEO C;1150
2025-01;Andalucía;Córdoba;OTROS GASOLEOS;0
2025-01;Andalucía;Córdoba;BIOETANOL;0
2025-01;Andalucía;Córdoba;GASOLINA  AUTO. S/PB 95 I.O.;5848
2025-01;Andalucía;Córdoba;GASOLINA  AUTO. S/PB 98 I.O.;150
2025-01;Andalucía;Córdoba;OTRAS GASOLINAS;8
2025-01;Andalucía;Córdoba;FUELÓLEO  BIA;25
2025-01;Andalucía;Córdoba;OTROS FUELÓLEOS;0
2025-01;Andalucía;Córdoba;QUEROSENO AVIACIÓN;16
2025-01;Andalucía;Córdoba;OTROS QUEROSENOS;0
2025-01;Andalucía;Córdoba;GLP;2671
2025-01;Andalucía;Granada;BIODIESEL;16
2025-01;Andalucía;Granada;GASÓLEO A;32264
2025-01;Andalucía;Granada;GASÓLEO B;6905
2025-01;Andalucía;Granada;GASÓLEO C;4774
2025-01;Andalucía;Granada;OTROS GASOLEOS;335
2025-01;Andalucía;Granada;BIOETANOL;0
2025-01;Andalucía;Granada;GASOLINA  AUTO. S/PB 95 I.O.;8256
2025-01;Andalucía;Granada;GASOLINA  AUTO. S/PB 98 I.O.;355
2025-01;Andalucía;Granada;OTRAS GASOLINAS;2
2025-01;Andalucía;Granada;FUELÓLEO  BIA;52
2025-01;Andalucía;Granada;OTROS FUELÓLEOS;961
2025-01;Andalucía;Granada;QUEROSENO AVIACIÓN;1137
2025-01;Andalucía;Granada;OTROS QUEROSENOS;0
2025-01;Andalucía;Granada;GLP;4434
2025-01;Andalucía;Huelva;BIODIESEL;39
2025-01;Andalucía;Huelva;GASÓLEO A;23314
2025-01;Andalucía;Huelva;GASÓLEO B;7751
2025-01;Andalucía;Huelva;GASÓLEO C;250
2025-01;Andalucía;Huelva;OTROS GASOLEOS;2288
